35,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z># and abs(#*(#-q.z))<#"
2019-10-03 04:14:00,1
2019-10-03 04:15:00,3
2019-10-03 04:16:00,3
2019-10-03 04:17:00,1
2019-10-03 04:20:00,2
2019-10-03 04:21:00,3
2019-10-03 04:22:00,2
2019-10-03 04:23:00,1
2019-10-03 04:24:00,3
2019-10-03 04:27:00,2
2019-10-03 04:29:00,1
2019-10-03 04:30:00,2
2019-10-03 04:31:00,2
2019-10-03 04:33:00,2
2019-10-03 04:35:00,1
2019-10-03 04:36:00,4
2019-10-03 04:38:00,1
2019-10-03 04:40:00,1
