192,"SELECT p.objID,p.ra,p.dec,p.dered_u,p.dered_g,p.dered_r,p.dered_i,p.dered_z,p.clean,p.flags,z.z as photoz,z.zErr as photozErr,s.specObjID as specObjID,s.z as specz,s.zErr as speczErr, dbo.fPhotoFlagsN(p.flags) as note from Galaxy as p LEFT OUTER JOIN photoz as z ON z.ObjID = p.ObjID LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.ObjID WHERE p.ra between # and # and p.dec between # and #"
2019-01-03 06:17:00,1
2019-01-03 06:18:00,2
2019-01-03 06:19:00,2
2019-01-03 06:20:00,2
2019-01-03 06:21:00,2
2019-01-03 06:22:00,2
2019-01-03 06:23:00,2
2019-01-03 06:24:00,1
2019-01-03 06:25:00,2
2019-01-03 06:26:00,1
2019-01-03 06:27:00,1
2019-01-03 06:28:00,1
2019-01-03 06:29:00,1
2019-01-03 06:30:00,1
2019-01-03 06:31:00,1
2019-01-03 06:32:00,1
2019-01-03 06:33:00,1
2019-01-03 06:34:00,1
2019-01-03 06:36:00,1
2019-01-03 06:37:00,1
2019-01-03 06:38:00,1
2019-01-03 06:39:00,1
2019-01-03 06:40:00,1
2019-01-03 06:41:00,1
2019-01-03 06:42:00,1
2019-01-03 06:43:00,1
2019-01-03 06:44:00,1
2019-01-03 06:45:00,1
2019-01-03 06:46:00,1
2019-01-03 06:48:00,1
2019-01-03 06:49:00,1
2019-01-03 06:50:00,1
2019-01-03 06:51:00,1
2019-01-03 06:52:00,1
2019-01-03 06:53:00,1
2019-01-03 06:54:00,1
2019-01-03 06:55:00,1
2019-01-03 06:56:00,1
2019-01-03 06:57:00,1
2019-01-03 06:58:00,1
2019-01-03 07:00:00,1
2019-01-03 07:01:00,2
2019-01-03 07:02:00,2
2019-01-03 07:03:00,2
2019-01-03 07:04:00,2
2019-01-03 07:05:00,1
2019-01-03 07:06:00,2
2019-01-03 07:07:00,2
2019-01-03 07:08:00,2
2019-01-03 07:09:00,1
2019-01-03 07:10:00,1
2019-01-03 07:11:00,1
2019-01-03 07:12:00,1
2019-01-03 07:13:00,1
2019-01-03 07:14:00,1
2019-01-03 07:15:00,1
2019-01-03 07:16:00,1
2019-01-03 07:17:00,1
2019-01-03 07:18:00,1
2019-01-03 07:19:00,1
2019-01-03 07:21:00,1
2019-01-03 07:22:00,1
2019-01-03 07:23:00,1
2019-01-03 07:24:00,1
2019-01-03 07:25:00,1
2019-01-03 07:26:00,1
2019-01-03 07:27:00,1
2019-01-03 07:28:00,2
2019-01-03 07:29:00,1
2019-01-03 07:30:00,2
2019-01-03 07:31:00,1
2019-01-03 07:32:00,1
2019-01-03 07:33:00,2
2019-01-03 07:34:00,1
2019-01-03 07:35:00,1
2019-01-03 07:36:00,1
2019-01-03 07:37:00,2
2019-01-03 07:38:00,1
2019-01-03 07:53:00,1
2019-01-03 07:54:00,3
2019-01-03 07:55:00,2
2019-01-03 07:56:00,2
2019-01-03 07:57:00,2
2019-01-03 07:58:00,2
2019-01-03 07:59:00,1
2019-01-03 08:00:00,2
2019-01-03 08:01:00,2
2019-01-03 08:02:00,1
2019-01-03 08:03:00,1
2019-01-03 08:04:00,1
2019-01-03 08:05:00,1
2019-01-03 08:07:00,1
2019-01-03 08:08:00,1
2019-01-03 08:09:00,1
2019-01-03 08:10:00,1
2019-01-03 08:11:00,1
2019-01-03 08:12:00,1
2019-01-03 08:13:00,1
2019-01-03 08:14:00,1
2019-01-03 08:15:00,1
2019-01-03 08:16:00,1
2019-01-03 08:17:00,1
2019-01-03 08:19:00,1
2019-01-03 08:20:00,1
2019-01-03 08:21:00,1
2019-01-03 08:22:00,1
2019-01-03 08:23:00,1
2019-01-03 08:24:00,1
2019-01-03 08:25:00,1
2019-01-03 08:26:00,1
2019-01-03 08:27:00,1
2019-01-03 08:28:00,1
2019-01-03 08:29:00,1
2019-01-03 08:31:00,1
2019-01-03 08:32:00,1
2019-01-03 08:33:00,1
2019-01-03 08:34:00,1
2019-01-03 08:35:00,1
2019-01-03 08:36:00,1
2019-01-03 08:37:00,2
2019-01-03 08:38:00,2
2019-01-03 08:39:00,2
2019-01-03 08:40:00,2
2019-01-03 08:41:00,2
2019-01-03 08:42:00,2
2019-01-03 08:43:00,1
2019-01-03 08:44:00,2
2019-01-03 08:45:00,1
2019-01-03 08:46:00,1
2019-01-03 08:47:00,1
2019-01-03 08:48:00,1
2019-01-03 08:49:00,1
2019-01-03 08:50:00,1
2019-01-03 08:51:00,1
2019-01-03 08:53:00,1
2019-01-03 08:54:00,1
2019-01-03 08:55:00,1
2019-01-03 08:56:00,1
2019-01-03 08:57:00,1
2019-01-03 08:58:00,1
2019-01-03 08:59:00,1
2019-01-03 09:00:00,1
2019-01-03 09:01:00,1
2019-01-03 09:02:00,1
2019-01-03 09:03:00,1
2019-01-03 09:04:00,2
2019-01-03 09:05:00,1
2019-01-03 09:06:00,2
2019-01-03 09:07:00,1
2019-01-03 09:08:00,2
2019-01-03 09:09:00,1
2019-01-03 09:10:00,1
2019-01-03 09:11:00,2
2019-01-03 09:12:00,1
2019-01-03 09:13:00,1
