12,"SELECT TOP #  p.run,p.rerun,p.camCol,p.field,p.obj,cast(str(p.ra,#,#) as float) as ra,cast(str(p.[dec],#,#) as float) as dec,p.r  FROM ..PhotoObj AS p  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = P.objID  WHERE ( p.type = # OR p.type = #)"
2019-07-01 17:12:00,1
2019-07-01 17:14:00,1
2019-07-01 17:15:00,2
2019-07-01 18:17:00,1
2019-07-01 21:13:00,1
2019-07-01 21:14:00,1
2019-07-01 21:36:00,1
2019-07-01 22:48:00,1
2019-07-01 23:03:00,1
2019-07-01 23:53:00,1
2019-07-01 23:57:00,1
