103,"SELECT DISTINCT p.objID, s.ra, s.dec, s.specObjID, s.sciencePrimary, s.run2d, s.instrument, s.plate, s.fiberID, s.mjd FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-11-13 09:56:00,1
2019-11-13 10:28:00,1
2019-11-13 10:32:00,1
2019-11-13 10:33:00,1
2019-11-13 17:08:00,2
2019-11-13 17:20:00,1
2019-11-13 17:24:00,11
2019-11-13 17:25:00,20
2019-11-13 17:26:00,21
2019-11-13 17:27:00,42
2019-11-13 17:33:00,2
