14,"SELECT first.plate, other.plate,   COUNT(DISTINCT other.mjd) + COUNT(DISTINCT first.mjd) AS nightsObserved,   otherPlate.programname, count(DISTINCT other.bestObjID) AS objects  FROM SpecObjAll first  JOIN SpecObjAll other ON first.bestObjID = other.bestObjID  JOIN PlateX AS firstPlate ON firstPlate.plate = first.plate  JOIN PlateX AS otherPlate ON otherPlate.plate = other.plate  WHERE first.scienceprimary = # AND other.scienceprimary = #   AND other.bestObjID > #  GROUP BY first.plate, other.plate, otherPlate.programname  ORDER BY nightsObserved DESC, otherPlate.programname,   first.plate, other.plate"
2019-05-13 03:31:00,1
2019-05-13 03:33:00,1
2019-05-13 03:36:00,1
2019-05-13 03:41:00,1
2019-05-13 03:51:00,1
2019-05-13 04:08:00,1
2019-05-13 08:51:00,1
2019-05-13 13:23:00,1
2019-05-13 23:22:00,1
2019-05-13 23:24:00,1
2019-05-13 23:27:00,1
2019-05-13 23:32:00,1
2019-05-13 23:41:00,1
2019-05-13 23:58:00,1
