2487,"SELECT TOP # G.objID,G.ra,G.dec,GN.distance, PZ.z as photoz, PZ.zErr as photoz_err, S.z as specz FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON G.objID = GN.objID JOIN Photoz AS PZ ON PZ.objID = GN.objID LEFT JOIN Specobj AS S ON PZ.objID = S.bestObjID ORDER BY distance"
2019-12-12 16:45:00,79
2019-12-12 16:46:00,98
2019-12-12 16:47:00,97
2019-12-12 16:48:00,90
2019-12-12 16:49:00,90
2019-12-12 16:50:00,89
2019-12-12 16:51:00,89
2019-12-12 16:52:00,90
2019-12-12 16:53:00,87
2019-12-12 16:54:00,18
2019-12-12 21:45:00,47
2019-12-12 21:46:00,95
2019-12-12 21:47:00,100
2019-12-12 21:48:00,98
2019-12-12 21:49:00,101
2019-12-12 21:50:00,98
2019-12-12 21:51:00,100
2019-12-12 21:52:00,100
2019-12-12 21:53:00,96
2019-12-12 21:54:00,95
2019-12-12 21:55:00,98
2019-12-12 21:56:00,99
2019-12-12 21:57:00,95
2019-12-12 21:58:00,97
2019-12-12 21:59:00,94
2019-12-12 22:00:00,92
2019-12-12 22:01:00,98
2019-12-12 22:02:00,57
