17,"SELECT p.objid, p.psfMag_u AS u, p.psfMagErr_u as u_err, p.psfMag_g AS g, p.psfMagErr_g as g_err, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err FROM photoObj p JOIN dbo.fGetNearbyObjEq(#, #, #) n ON p.objid = n.objID WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > #"
2019-04-11 12:52:00,1
2019-04-11 12:56:00,1
2019-04-11 14:22:00,5
2019-04-11 16:00:00,1
2019-04-11 16:01:00,1
2019-04-11 16:08:00,1
2019-04-11 16:12:00,1
2019-04-11 16:13:00,1
2019-04-11 16:20:00,1
2019-04-11 16:53:00,1
2019-04-11 17:14:00,1
2019-04-11 17:18:00,1
2019-04-11 17:26:00,1
