24,"SELECT count(*) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type not in (#,#)) then # else # end) as &&&      FROM PhotoPrimary -- for each object WHERE (l between # and #) and (b between # and #)"
2019-03-04 14:51:00,1
2019-03-04 14:52:00,1
2019-03-04 14:55:00,1
2019-03-04 14:56:00,1
2019-03-04 14:57:00,2
2019-03-04 15:02:00,1
2019-03-04 15:03:00,1
2019-03-04 15:05:00,1
2019-03-04 15:06:00,1
2019-03-04 15:08:00,2
2019-03-04 15:09:00,1
2019-03-04 15:10:00,2
2019-03-04 15:11:00,1
2019-03-04 15:12:00,1
2019-03-04 15:13:00,1
2019-03-04 15:14:00,3
2019-03-04 15:15:00,1
2019-03-04 15:27:00,1
2019-03-04 15:29:00,1
