57,"SELECT count(*) as &&&,         sum(case when (Type=#) then # else # end) as &&&,         sum(case when (Type=#) then # else # end) as &&&,         sum(case when (Type not in (#,#)) then # else # end) as &&&     FROM PhotoPrimary      WHERE (b between # and #) and (l between # and #)"
2019-03-04 14:16:00,1
2019-03-04 14:17:00,3
2019-03-04 14:18:00,3
2019-03-04 14:19:00,5
2019-03-04 14:20:00,2
2019-03-04 14:21:00,1
2019-03-04 14:22:00,2
2019-03-04 14:23:00,2
2019-03-04 14:24:00,4
2019-03-04 14:32:00,8
2019-03-04 14:33:00,9
2019-03-04 14:38:00,17
