8814,"SELECT DISTINCT p.ra, p.dec, s.Z FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-06 10:34:00,35
2019-03-06 10:35:00,160
2019-03-06 10:36:00,17
2019-03-06 10:51:00,103
2019-03-06 10:52:00,152
2019-03-06 10:53:00,148
2019-03-06 10:54:00,168
2019-03-06 10:55:00,165
2019-03-06 10:56:00,172
2019-03-06 10:57:00,181
2019-03-06 10:58:00,161
2019-03-06 10:59:00,169
2019-03-06 11:00:00,162
2019-03-06 11:01:00,178
2019-03-06 11:02:00,192
2019-03-06 11:03:00,185
2019-03-06 11:04:00,178
2019-03-06 11:05:00,158
2019-03-06 11:06:00,163
2019-03-06 11:07:00,194
2019-03-06 11:08:00,182
2019-03-06 11:09:00,186
2019-03-06 11:10:00,182
2019-03-06 11:11:00,180
2019-03-06 11:12:00,169
2019-03-06 11:13:00,185
2019-03-06 11:14:00,176
2019-03-06 11:15:00,199
2019-03-06 11:16:00,184
2019-03-06 11:17:00,184
2019-03-06 11:18:00,194
2019-03-06 11:19:00,169
2019-03-06 11:20:00,186
2019-03-06 11:21:00,178
2019-03-06 11:22:00,169
2019-03-06 11:23:00,183
2019-03-06 11:24:00,155
2019-03-06 11:25:00,197
2019-03-06 11:26:00,191
2019-03-06 11:27:00,179
2019-03-06 11:28:00,194
2019-03-06 11:29:00,188
2019-03-06 11:30:00,189
2019-03-06 11:31:00,189
2019-03-06 11:32:00,182
2019-03-06 11:33:00,202
2019-03-06 11:34:00,177
2019-03-06 11:35:00,204
2019-03-06 11:36:00,200
2019-03-06 11:37:00,180
2019-03-06 11:38:00,202
2019-03-06 11:39:00,38
