101,"SELECT p.objid, p.psfMag_u AS u, p.psfMagErr_u as u_err, p.psfMag_g AS g, p.psfMagErr_g as g_err, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err FROM photoObj p JOIN dbo.fGetNearbyObjEq(#, #, #) n ON p.objid = n.objID WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > #"
2019-03-21 13:15:00,2
2019-03-21 13:57:00,1
2019-03-21 14:03:00,1
2019-03-21 14:09:00,1
2019-03-21 14:59:00,1
2019-03-21 15:40:00,4
2019-03-21 15:41:00,1
2019-03-21 15:44:00,1
2019-03-21 15:45:00,3
2019-03-21 15:46:00,1
2019-03-21 15:47:00,2
2019-03-21 15:49:00,1
2019-03-21 15:50:00,2
2019-03-21 15:51:00,4
2019-03-21 15:52:00,1
2019-03-21 15:53:00,1
2019-03-21 15:54:00,5
2019-03-21 15:55:00,4
2019-03-21 15:56:00,1
2019-03-21 15:57:00,2
2019-03-21 15:59:00,3
2019-03-21 16:01:00,1
2019-03-21 16:02:00,1
2019-03-21 16:03:00,1
2019-03-21 16:05:00,2
2019-03-21 16:06:00,2
2019-03-21 16:07:00,1
2019-03-21 16:08:00,3
2019-03-21 16:10:00,3
2019-03-21 16:11:00,5
2019-03-21 16:12:00,6
2019-03-21 16:13:00,3
2019-03-21 16:14:00,1
2019-03-21 16:15:00,6
2019-03-21 16:16:00,1
2019-03-21 16:17:00,1
2019-03-21 16:18:00,1
2019-03-21 16:19:00,3
2019-03-21 16:20:00,1
2019-03-21 16:21:00,2
2019-03-21 16:23:00,3
2019-03-21 16:30:00,3
2019-03-21 16:31:00,1
2019-03-21 16:32:00,1
2019-03-21 16:33:00,1
2019-03-21 16:39:00,1
2019-03-21 16:41:00,1
2019-03-21 16:48:00,1
2019-03-21 16:49:00,1
2019-03-21 16:55:00,1
2019-03-21 16:57:00,1
