61,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, s.z as redshift, s.zErr as e_redshift, s.zwarning, p.petrorad_u, p.petrorad_g, p.petrorad_r, p.petrorad_i, p.petrorad_z, p.petroraderr_u, p.petroraderr_g, p.petroraderr_r, p.petroraderr_i, p.petroraderr_z from galaxy p, specobj s, dbo.fgetNearByObjEq(#,+#,#)n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and(p.g BETWEEN # and #) order by p.g"
2019-06-04 11:49:00,1
2019-06-04 11:51:00,1
2019-06-04 11:52:00,1
2019-06-04 11:53:00,1
2019-06-04 11:54:00,1
2019-06-04 11:55:00,1
2019-06-04 11:56:00,1
2019-06-04 11:57:00,1
2019-06-04 11:58:00,1
2019-06-04 11:59:00,1
2019-06-04 12:00:00,1
2019-06-04 12:01:00,1
2019-06-04 12:02:00,1
2019-06-04 12:03:00,1
2019-06-04 12:04:00,1
2019-06-04 12:05:00,1
2019-06-04 12:06:00,2
2019-06-04 12:07:00,1
2019-06-04 12:08:00,1
2019-06-04 12:09:00,1
2019-06-04 12:10:00,1
2019-06-04 12:11:00,1
2019-06-04 12:12:00,1
2019-06-04 12:14:00,1
2019-06-04 12:16:00,1
2019-06-04 12:17:00,1
2019-06-04 12:19:00,1
2019-06-04 12:20:00,1
2019-06-04 12:22:00,1
2019-06-04 12:23:00,1
2019-06-04 12:24:00,1
2019-06-04 12:25:00,1
2019-06-04 12:26:00,1
2019-06-04 12:28:00,1
2019-06-04 12:29:00,1
2019-06-04 12:30:00,1
2019-06-04 12:31:00,1
2019-06-04 12:32:00,1
2019-06-04 12:34:00,2
2019-06-04 12:42:00,1
2019-06-04 12:43:00,2
2019-06-04 12:44:00,1
2019-06-04 12:45:00,1
2019-06-04 12:46:00,1
2019-06-04 12:47:00,1
2019-06-04 12:48:00,1
2019-06-04 12:49:00,1
2019-06-04 12:50:00,1
2019-06-04 12:51:00,2
2019-06-04 12:52:00,1
2019-06-04 12:53:00,1
2019-06-04 12:54:00,1
2019-06-04 12:55:00,1
2019-06-04 12:56:00,1
2019-06-04 12:57:00,1
2019-06-04 12:58:00,2
