11,"SELECT first.plate, other.plate,   COUNT(DISTINCT other.mjd) + COUNT(DISTINCT first.mjd) AS nightsObserved,   otherPlate.programname, count(DISTINCT other.bestObjID) AS objects  FROM SpecObjAll first  JOIN SpecObjAll other ON first.bestObjID = other.bestObjID  JOIN PlateX AS firstPlate ON firstPlate.plate = first.plate  JOIN PlateX AS otherPlate ON otherPlate.plate = other.plate  WHERE first.scienceprimary = # AND other.scienceprimary = #   AND other.bestObjID > #  GROUP BY first.plate, other.plate, otherPlate.programname  ORDER BY nightsObserved DESC, otherPlate.programname,   first.plate, other.plate"
2019-02-01 10:30:00,1
2019-02-01 10:32:00,1
2019-02-01 10:35:00,1
2019-02-01 10:40:00,1
2019-02-01 10:49:00,1
2019-02-01 11:06:00,1
2019-02-01 22:07:00,1
2019-02-01 22:10:00,1
2019-02-01 22:15:00,1
2019-02-01 22:24:00,1
2019-02-01 22:41:00,1
