8464,"SELECT TOP # S.specObjId, S.bestObjID, S.ra, S.dec, S.z, S.zErr, S.zWarning FROM specObj as S JOIN dbo.fGetNearbyObjEq(#,#, #) AS PN ON S.bestObjID = PN.objID ORDER BY distance"
2019-07-10 19:03:00,2
2019-07-10 19:04:00,188
2019-07-10 19:05:00,214
2019-07-10 19:06:00,207
2019-07-10 19:07:00,117
2019-07-10 19:08:00,167
2019-07-10 19:10:00,143
2019-07-10 19:15:00,87
2019-07-10 19:16:00,217
2019-07-10 19:17:00,211
2019-07-10 19:18:00,219
2019-07-10 19:19:00,169
2019-07-10 19:20:00,12
2019-07-10 19:21:00,21
2019-07-10 19:22:00,55
2019-07-10 19:23:00,234
2019-07-10 19:24:00,224
2019-07-10 19:25:00,231
2019-07-10 19:26:00,214
2019-07-10 19:27:00,204
2019-07-10 19:28:00,208
2019-07-10 19:29:00,210
2019-07-10 19:30:00,206
2019-07-10 19:31:00,206
2019-07-10 19:32:00,205
2019-07-10 19:33:00,202
2019-07-10 19:34:00,204
2019-07-10 19:35:00,194
2019-07-10 19:36:00,188
2019-07-10 19:37:00,172
2019-07-10 19:38:00,187
2019-07-10 19:39:00,200
2019-07-10 19:40:00,184
2019-07-10 19:41:00,188
2019-07-10 19:42:00,200
2019-07-10 19:43:00,194
2019-07-10 19:44:00,199
2019-07-10 19:45:00,205
2019-07-10 19:46:00,199
2019-07-10 19:47:00,175
2019-07-10 19:48:00,209
2019-07-10 19:49:00,173
2019-07-10 19:50:00,197
2019-07-10 19:51:00,185
2019-07-10 19:52:00,200
2019-07-10 19:53:00,168
2019-07-10 19:54:00,172
2019-07-10 19:55:00,98
