10,"SELECT   A.RAJ2#,A.DEJ2#,C.z,C.zerr,C.class,C.subClass,C.specObjID,D.specObjID as specObjIDClean,A.INDX,C.ObjID,B.distance FROM    MyDB.WISE_AGN_R9#_ptsrc_VIZIER AS A    OUTER APPLY dbo.fGetNearestObjEq( A.RAJ2#, A.DEJ2#, #/#.) AS B    LEFT OUTER JOIN SpecPhotoAll AS C ON B.objID=C.objID    LEFT JOIN SpecObj as D ON C.specObjID=D.specObjID  WHERE    A.INDX BETWEEN # AND # INTO    MyDB.WISE_AGN_R9#_ptsrc_VIZIER3#_SDSSspecDR1#_#as"
2019-08-29 16:50:00,1
2019-08-29 17:06:00,1
2019-08-29 17:21:00,1
2019-08-29 17:35:00,1
2019-08-29 17:49:00,1
2019-08-29 18:02:00,1
2019-08-29 18:15:00,1
2019-08-29 18:28:00,1
2019-08-29 18:41:00,1
2019-08-29 18:53:00,1
