26,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z># and abs(#*(#-q.z))<#"
2019-02-22 01:26:00,2
2019-02-22 01:30:00,1
2019-02-22 06:14:00,1
2019-02-22 06:16:00,1
2019-02-22 06:18:00,1
2019-02-22 06:44:00,1
2019-02-22 06:47:00,1
2019-02-22 07:04:00,1
2019-02-22 07:07:00,1
2019-02-22 07:11:00,1
2019-02-22 07:35:00,2
2019-02-22 07:36:00,1
2019-02-22 08:55:00,1
2019-02-22 09:53:00,1
2019-02-22 17:58:00,1
2019-02-22 17:59:00,1
2019-02-22 18:01:00,1
2019-02-22 18:02:00,1
2019-02-22 18:03:00,1
2019-02-22 18:04:00,2
2019-02-22 18:07:00,1
2019-02-22 18:15:00,1
2019-02-22 18:22:00,1
